,name,crosses,numberOfStrands
0,0_1,"[X(1,11,2,10), X(3,8,4,9), X(4,19,5,20), X(6,16,7,15), X(11,1,12,20), X(12,10,13,9), X(13,2,14,3), X(16,6,17,5), X(17,15,18,14), X(18,7,19,8)]",20
1,0_1,[],0
2,0_1,"[X(1,10,2,11), X(2,6,3,5), X(3,17,4,16), X(6,13,7,14), X(7,19,8,18), X(8,12,9,11), X(9,20,10,1), X(12,19,13,20), X(14,18,15,17), X(15,5,16,4)]",20
3,0_1,"[X(1,8,22,7), X(2,14,3,13), X(4,11,5,12), X(8,21,9,22), X(9,6,10,7), X(14,20,15,19), X(15,10,16,11), X(16,6,17,5), X(17,13,18,12), X(18,3,19,4), X(20,2,21,1)]",22
4,0_1,"[X(1,6,12,5), X(4,10,5,9), X(6,1,7,2), X(8,4,9,3), X(10,8,11,7), X(11,3,12,2)]",12
5,0_1,"[X(2,13,3,14), X(4,12,5,11), X(7,21,8,20), X(8,2,9,1), X(9,18,10,19), X(14,3,15,4), X(15,13,16,12), X(16,6,17,5), X(17,10,18,11), X(19,22,20,1), X(21,7,22,6)]",22
6,0_1,"[X(1,6,12,5), X(2,10,3,9), X(4,7,5,8), X(6,1,7,2), X(10,4,11,3), X(11,8,12,9)]",12
7,0_1,"[X(1,9,2,8), X(5,10,6,11), X(6,4,7,3), X(7,1,8,12), X(9,4,10,5), X(11,3,12,2)]",12
8,0_1,"[X(1,7,18,8), X(2,18,3,17), X(4,11,5,12), X(6,14,7,13), X(8,2,9,1), X(9,17,10,16), X(10,3,11,4), X(12,15,13,16), X(14,6,15,5)]",18
9,0_1,"[X(1,15,2,14), X(2,7,3,8), X(3,11,4,10), X(5,16,6,1), X(9,13,10,12), X(11,5,12,4), X(13,9,14,8), X(15,6,16,7)]",16
10,0_1,"[X(1,15,2,14), X(2,6,3,5), X(4,14,5,13), X(6,15,7,16), X(8,11,9,12), X(9,18,10,1), X(12,4,13,3), X(16,7,17,8), X(17,10,18,11)]",18
11,0_1,"[X(1,6,16,5), X(1,10,2,11), X(3,9,4,8), X(6,15,7,16), X(11,2,12,3), X(12,10,13,9), X(13,5,14,4), X(14,7,15,8)]",16
12,0_1,"[X(1,17,2,16), X(2,10,3,9), X(4,19,5,20), X(6,13,7,14), X(7,19,8,18), X(8,4,9,3), X(10,17,11,18), X(12,5,13,6), X(14,11,15,12), X(15,1,16,20)]",20
13,0_1,"[X(1,13,26,14), X(4,18,5,17), X(5,22,6,23), X(7,18,8,19), X(8,4,9,3), X(9,17,10,16), X(10,1,11,2), X(11,14,12,15), X(12,26,13,25), X(15,3,16,2), X(20,23,21,24), X(21,6,22,7), X(24,19,25,20)]",26
14,0_1,"[X(1,7,2,6), X(2,11,3,12), X(3,15,4,14), X(5,13,6,12), X(7,10,8,11), X(9,16,10,1), X(13,5,14,4), X(15,8,16,9)]",16
